MatchID,RedAgent,BlueAgent,RedScore,BlueScore,Winner
20250328171213670907,myMCTSV2_rave,myMCTSV2_sorting,3,0,myMCTSV2_rave
20250328171929759323,myMCTSV2_rave,myMCTSV2_sorting,0,3,myMCTSV2_sorting
20250328172625555005,myMCTSV2_rave,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250328173035123206,myMCTSV2_rave,myMCTSV2_sorting,3,0,myMCTSV2_rave
20250328173816432164,myMCTSV2_rave,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250328174230055239,myMCTSV2_rave,myMCTSV2_sorting,0,3,myMCTSV2_sorting
20250328174739833293,myMCTSV2_rave,myMCTSV2_sorting,0,0,DRAW
20250328175317369764,myMCTSV2_rave,myMCTSV2_sorting,0,2,myMCTSV2_sorting
20250328175932157495,myMCTSV2_rave,myMCTSV2_sorting,0,5,myMCTSV2_sorting
20250328180731996624,myMCTSV2_rave,myMCTSV2_sorting,0,0,DRAW
20250328181458269350,myMCTSV2_rave,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250328182224772241,myMCTSV2_rave,myMCTSV2_sorting,0,15,myMCTSV2_sorting
20250328182744488283,myMCTSV2_rave,myMCTSV2_sorting,3,0,myMCTSV2_rave
20250328183223699690,myMCTSV2_rave,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250328184005523635,myMCTSV2_rave,myMCTSV2_sorting,0,0,DRAW
20250328184744657796,myMCTSV2_rave,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250328185556925498,myMCTSV2_rave,myMCTSV2_sorting,1,0,myMCTSV2_rave
20250328190334649537,myMCTSV2_rave,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250328191111714151,myMCTSV2_rave,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250328191823781483,myMCTSV2_rave,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250328192533133523,myMCTSV2_rave,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250328193319994675,myMCTSV2_rave,myMCTSV2_sorting,0,7,myMCTSV2_sorting
20250328194045344693,myMCTSV2_rave,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250328194924429240,myMCTSV2_rave,myMCTSV2_sorting,0,3,myMCTSV2_sorting
20250328195715808253,myMCTSV2_rave,myMCTSV2_sorting,0,3,myMCTSV2_sorting
20250328200422548418,myMCTSV2_rave,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250328201110154696,myMCTSV2_rave,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250328201842933610,myMCTSV2_rave,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250328202716052611,myMCTSV2_rave,myMCTSV2_sorting,0,12,myMCTSV2_sorting
20250328203556089828,myMCTSV2_rave,myMCTSV2_sorting,0,3,myMCTSV2_sorting
20250328204353346827,myMCTSV2_rave,myMCTSV2,9,0,myMCTSV2_rave
20250328205140517841,myMCTSV2_rave,myMCTSV2,0,0,DRAW
20250328205855920862,myMCTSV2_rave,myMCTSV2,10,0,myMCTSV2_rave
20250328210420249861,myMCTSV2_rave,myMCTSV2,0,3,myMCTSV2
20250328211222006790,myMCTSV2_rave,myMCTSV2,8,0,myMCTSV2_rave
20250328211738604417,myMCTSV2_rave,myMCTSV2,12,0,myMCTSV2_rave
20250328212342123494,myMCTSV2_rave,myMCTSV2,3,0,myMCTSV2_rave
20250328212955348826,myMCTSV2_rave,myMCTSV2,0,3,myMCTSV2
20250328213744504647,myMCTSV2_rave,myMCTSV2,0,3,myMCTSV2
20250328214204094192,myMCTSV2_rave,myMCTSV2,0,0,DRAW
20250328215006041348,myMCTSV2_rave,myMCTSV2,6,0,myMCTSV2_rave
20250328215741301909,myMCTSV2_rave,myMCTSV2,3,0,myMCTSV2_rave
20250328220356465834,myMCTSV2_rave,myMCTSV2,0,0,DRAW
20250328221256097557,myMCTSV2_rave,myMCTSV2,0,3,myMCTSV2
20250328222048461275,myMCTSV2_rave,myMCTSV2,0,0,DRAW
20250328222803498820,myMCTSV2_rave,myMCTSV2,0,3,myMCTSV2
20250328223207581170,myMCTSV2_rave,myMCTSV2,6,0,myMCTSV2_rave
20250328223907164850,myMCTSV2_rave,myMCTSV2,0,0,DRAW
20250328224544794226,myMCTSV2_rave,myMCTSV2,3,0,myMCTSV2_rave
20250328225250420639,myMCTSV2_rave,myMCTSV2,4,0,myMCTSV2_rave
20250328225820857606,myMCTSV2_rave,myMCTSV2,0,4,myMCTSV2
20250328230228455013,myMCTSV2_rave,myMCTSV2,3,0,myMCTSV2_rave
20250328230756299264,myMCTSV2_rave,myMCTSV2,0,0,DRAW
20250328231355566931,myMCTSV2_rave,myMCTSV2,3,0,myMCTSV2_rave
20250328231855816927,myMCTSV2_rave,myMCTSV2,3,0,myMCTSV2_rave
20250328232340355881,myMCTSV2_rave,myMCTSV2,0,5,myMCTSV2
20250328233219518302,myMCTSV2_rave,myMCTSV2,9,0,myMCTSV2_rave
20250328233829119755,myMCTSV2_rave,myMCTSV2,0,3,myMCTSV2
20250328234419487924,myMCTSV2_rave,myMCTSV2,0,3,myMCTSV2
20250328235054506005,myMCTSV2_rave,myMCTSV2,0,0,DRAW
20250328235541895540,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,2,myMCTSV2_weighted_rollout
20250329000108377701,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,9,myMCTSV2_weighted_rollout
20250329000520691126,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,6,myMCTSV2_weighted_rollout
20250329001259692158,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,6,myMCTSV2_weighted_rollout
20250329002015369572,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,6,myMCTSV2_weighted_rollout
20250329002612489153,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,3,myMCTSV2_weighted_rollout
20250329003333620771,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,2,myMCTSV2_weighted_rollout
20250329004005525137,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,4,myMCTSV2_weighted_rollout
20250329004718535572,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,6,myMCTSV2_weighted_rollout
20250329005358384824,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,6,myMCTSV2_weighted_rollout
20250329010147076673,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,3,myMCTSV2_weighted_rollout
20250329010603507212,myMCTSV2_rave,myMCTSV2_weighted_rollout,0,1,myMCTSV2_weighted_rollout
