MatchID,RedAgent,BlueAgent,RedScore,BlueScore,Winner
20250327230111689970,myMCTS,myHeuristic,0,18,myHeuristic
20250327230238984964,myMCTS,myHeuristic,0,18,myHeuristic
20250327230529558761,myMCTS,myHeuristic,0,17,myHeuristic
20250327230705199230,myMCTS,myHeuristic,0,18,myHeuristic
20250327230856648313,myMCTS,myHeuristic,0,18,myHeuristic
20250327231124246685,myMCTS,myHeuristic,0,18,myHeuristic
20250327231319289251,myMCTS,myHeuristic,0,18,myHeuristic
20250327231519943656,myMCTS,myHeuristic,0,18,myHeuristic
20250327231712846782,myMCTS,myHeuristic,0,18,myHeuristic
20250327231853330762,myMCTS,myHeuristic,0,18,myHeuristic
20250327232123394794,myMCTS,myHeuristic,0,18,myHeuristic
20250327232412466546,myMCTS,myHeuristic,0,18,myHeuristic
20250327232609328320,myMCTS,myHeuristic,0,18,myHeuristic
20250327232740931697,myMCTS,myHeuristic,0,18,myHeuristic
20250327232917635897,myMCTS,myHeuristic,0,18,myHeuristic
20250327233117829726,myMCTS,myHeuristic,0,17,myHeuristic
20250327233407681470,myMCTS,myHeuristic,0,17,myHeuristic
20250327233601473249,myMCTS,myHeuristic,0,17,myHeuristic
20250327233850653213,myMCTS,myHeuristic,0,18,myHeuristic
20250327234029135386,myMCTS,myHeuristic,0,18,myHeuristic
20250327234240050953,myMCTS,myHeuristic,0,18,myHeuristic
20250327234443468818,myMCTS,myHeuristic,0,18,myHeuristic
20250327234729599853,myMCTS,myHeuristic,0,18,myHeuristic
20250327234924835452,myMCTS,myHeuristic,0,18,myHeuristic
20250327235121655487,myMCTS,myHeuristic,0,16,myHeuristic
20250327235428883842,myMCTS,myHeuristic,0,0,DRAW
20250327235633086985,myMCTS,myHeuristic,0,18,myHeuristic
20250327235825186222,myMCTS,myHeuristic,0,18,myHeuristic
20250328000003244851,myMCTS,myHeuristic,0,18,myHeuristic
20250328000140772048,myMCTS,myHeuristic,0,18,myHeuristic
20250328000334026630,myMCTS,myHeuristic,0,16,myHeuristic
20250328000531876658,myMCTS,myHeuristic,0,17,myHeuristic
20250328000703879140,myMCTS,myHeuristic,0,18,myHeuristic
20250328000900372835,myMCTS,myHeuristic,0,16,myHeuristic
20250328001056983868,myMCTS,myHeuristic,0,18,myHeuristic
20250328001230878187,myMCTS,myHeuristic,0,18,myHeuristic
20250328001422018757,myMCTS,myHeuristic,0,18,myHeuristic
20250328001613918883,myMCTS,myHeuristic,0,18,myHeuristic
20250328001807735194,myMCTS,myHeuristic,0,18,myHeuristic
20250328001958492676,myMCTS,myHeuristic,0,18,myHeuristic
20250328002135538540,myMCTS,myHeuristic,0,18,myHeuristic
20250328002359511790,myMCTS,myHeuristic,0,18,myHeuristic
20250328002547826878,myMCTS,myHeuristic,0,18,myHeuristic
20250328002739092575,myMCTS,myHeuristic,0,18,myHeuristic
20250328003015636149,myMCTS,myHeuristic,0,18,myHeuristic
20250328003210299195,myMCTS,myHeuristic,0,18,myHeuristic
20250328003401137703,myMCTS,myHeuristic,0,18,myHeuristic
