MatchID,RedAgent,BlueAgent,RedScore,BlueScore,Winner
2.02503272157005E+019,myMCTSV2,myMCTSV2_sorting,0,3,myMCTSV2_sorting
2.02503272202185E+019,myMCTSV2,myMCTSV2_sorting,4,0,myMCTSV2
2.02503272212185E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272222186E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272232186E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272242187E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272252188E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272302188E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272312189E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272322189E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.0250327233219E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272342191E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503272352191E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503280002192E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503280012193E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.0250328001621E+019,myMCTSV2,myMCTSV2_sorting,6,0,myMCTSV2
2.0250328002026E+019,myMCTSV2,myMCTSV2_sorting,0,0,DRAW
2.02503280030261E+019,myMCTSV2,myMCTSV2_sorting,TIMEOUT,TIMEOUT,TIMEOUT
2.02503280034265E+019,myMCTSV2,myMCTSV2_sorting,1,0,myMCTSV2
2.02503280038283E+019,myMCTSV2,myMCTSV2_sorting,6,0,myMCTSV2
2.02503280042218E+019,myMCTSV2,myMCTSV2_sorting,0,6,myMCTSV2_sorting
2.02503280046204E+019,myMCTSV2,myMCTSV2_sorting,0,0,DRAW
2.02503280050145E+019,myMCTSV2,myMCTSV2_sorting,3,0,myMCTSV2
2.02503280054217E+019,myMCTSV2,myMCTSV2_sorting,0,0,DRAW
2.02503280058226E+019,myMCTSV2,myMCTSV2_sorting,0,6,myMCTSV2_sorting
2.02503280102167E+019,myMCTSV2,myMCTSV2_sorting,0,3,myMCTSV2_sorting
2.02503280106155E+019,myMCTSV2,myMCTSV2_sorting,0,3,myMCTSV2_sorting
2.02503280110158E+019,myMCTSV2,myMCTSV2_sorting,0,3,myMCTSV2_sorting
2.02503280114158E+019,myMCTSV2,myMCTSV2_sorting,0,6,myMCTSV2_sorting
2.02503280118235E+019,myMCTSV2,myMCTSV2_sorting,0,0,DRAW
2.0250328012225E+019,myMCTSV2,myMCTSV2_sorting,0,5,myMCTSV2_sorting
2.02503280126203E+019,myMCTSV2,myMCTSV2_sorting,0,0,DRAW
2.02503280130233E+019,myMCTSV2,myMCTSV2_sorting,0,3,myMCTSV2_sorting
2.02503280134176E+019,myMCTSV2,myMCTSV2_sorting,3,0,myMCTSV2
2.02503280138217E+019,myMCTSV2,myMCTSV2_sorting,3,0,myMCTSV2
2.02503280142267E+019,myMCTSV2,myMCTSV2_sorting,0,0,DRAW
2.02503280146339E+019,myMCTSV2,myMCTSV2_sorting,0,0,DRAW
2.02503280150389E+019,myMCTSV2,myMCTSV2_sorting,0,3,myMCTSV2_sorting
2.02503280154467E+019,myMCTSV2,myMCTSV2_sorting,1,0,myMCTSV2
2.02503280158537E+019,myMCTSV2,myMCTSV2_sorting,0,0,DRAW
2.02503280202552E+019,myMCTSV2,myMCTSV2_sorting,0,6,myMCTSV2_sorting
2.02503280206504E+019,myMCTSV2,myMCTSV2_sorting,0,2,myMCTSV2_sorting
